State,Population Estimate,Year
Alabama,4785579,2010
Alaska,714015,2010
Arizona,6407002,2010
Arkansas,2921737,2010
California,37327690,2010
Colorado,5048029,2010
Connecticut,3580171,2010
Delaware,899712,2010
District of Columbia,605040,2010
Florida,18846461,2010
Georgia,9712696,2010
Hawaii,1363817,2010
Idaho,1570912,2010
Illinois,12841196,2010
Indiana,6490029,2010
Iowa,3050223,2010
Kansas,2858403,2010
Kentucky,4347948,2010
Louisiana,4544871,2010
Maine,1327568,2010
Maryland,5788099,2010
Massachusetts,6564943,2010
Michigan,9876731,2010
Minnesota,5310711,2010
Mississippi,2970437,2010
Missouri,5995681,2010
Montana,990507,2010
Nebraska,1829956,2010
Nevada,2702797,2010
New Hampshire,1316700,2010
New Jersey,8803708,2010
New Mexico,2064607,2010
New York,19405185,2010
North Carolina,9574247,2010
North Dakota,674518,2010
Ohio,11539282,2010
Oklahoma,3759529,2010
Oregon,3837073,2010
Pennsylvania,12711063,2010
Rhode Island,1053169,2010
South Carolina,4635834,2010
South Dakota,816227,2010
Tennessee,6355882,2010
Texas,25241648,2010
Utah,2775260,2010
Vermont,625842,2010
Virginia,8025206,2010
Washington,6741386,2010
West Virginia,1854315,2010
Wisconsin,5690403,2010
Wyoming,564376,2010
Puerto Rico,3721525,2010
Alabama,4798649,2011
Alaska,722259,2011
Arizona,6465488,2011
Arkansas,2938640,2011
California,37672654,2011
Colorado,5116411,2011
Connecticut,3591927,2011
Delaware,907884,2011
District of Columbia,620336,2011
Florida,19097369,2011
Georgia,9810595,2011
Hawaii,1378323,2011
Idaho,1583180,2011
Illinois,12862298,2011
Indiana,6515358,2011
Iowa,3063690,2011
Kansas,2868756,2011
Kentucky,4368505,2011
Louisiana,4574388,2011
Maine,1327968,2011
Maryland,5843115,2011
Massachusetts,6612178,2011
Michigan,9876199,2011
Minnesota,5345967,2011
Mississippi,2977452,2011
Missouri,6010280,2011
Montana,996866,2011
Nebraska,1841641,2011
Nevada,2718170,2011
New Hampshire,1318345,2011
New Jersey,8844694,2011
New Mexico,2077744,2011
New York,19526372,2011
North Carolina,9662940,2011
North Dakota,684830,2011
Ohio,11543332,2011
Oklahoma,3785232,2011
Oregon,3865845,2011
Pennsylvania,12742811,2011
Rhode Island,1052154,2011
South Carolina,4672744,2011
South Dakota,823338,2011
Tennessee,6396281,2011
Texas,25644424,2011
Utah,2815430,2011
Vermont,626210,2011
Virginia,8107548,2011
Washington,6819155,2011
West Virginia,1854891,2011
Wisconsin,5705812,2011
Wyoming,567602,2011
